Final URL,Repository Path,Bytes,KB,Format,Width,Height,Git Tracked,Reference Location
https://www.qiuxiaomiao.com/assets/inputs/live-simple-life-02.webp,public/assets/inputs/live-simple-life-02.webp,60192,58.8,webp,1868,1019,yes,src/components/AestheticDialog.jsx:154
https://www.qiuxiaomiao.com/assets/inputs/live-zhang-zhenyue-01-w480.webp,public/assets/inputs/live-zhang-zhenyue-01-w480.webp,44180,43.1,webp,480,854,yes,generated responsive candidate for /assets/inputs/live-zhang-zhenyue-01.webp
https://www.qiuxiaomiao.com/assets/inputs/live-zhang-zhenyue-01-w960.webp,public/assets/inputs/live-zhang-zhenyue-01-w960.webp,125290,122.4,webp,960,1707,yes,generated responsive candidate for /assets/inputs/live-zhang-zhenyue-01.webp
https://www.qiuxiaomiao.com/assets/inputs/live-zhang-zhenyue-01.jpg,public/assets/inputs/live-zhang-zhenyue-01.jpg,228221,222.9,jpeg,1280,2276,yes,src/components/AestheticDialog.jsx:137 (JPG fallback)
https://www.qiuxiaomiao.com/assets/inputs/live-zhang-zhenyue-01.webp,public/assets/inputs/live-zhang-zhenyue-01.webp,212546,207.6,webp,1280,2276,yes,src/components/AestheticDialog.jsx:137
https://www.qiuxiaomiao.com/assets/inputs/live-zhang-zhenyue-quanzhou-w480.webp,public/assets/inputs/live-zhang-zhenyue-quanzhou-w480.webp,77934,76.1,webp,480,854,yes,generated responsive candidate for /assets/inputs/live-zhang-zhenyue-quanzhou.webp
https://www.qiuxiaomiao.com/assets/inputs/live-zhang-zhenyue-quanzhou-w960.webp,public/assets/inputs/live-zhang-zhenyue-quanzhou-w960.webp,240890,235.2,webp,960,1707,yes,generated responsive candidate for /assets/inputs/live-zhang-zhenyue-quanzhou.webp
https://www.qiuxiaomiao.com/assets/inputs/live-zhang-zhenyue-quanzhou.jpg,public/assets/inputs/live-zhang-zhenyue-quanzhou.jpg,374301,365.5,jpeg,1280,2276,yes,src/components/AestheticDialog.jsx:141 (JPG fallback)
https://www.qiuxiaomiao.com/assets/inputs/live-zhang-zhenyue-quanzhou.webp,public/assets/inputs/live-zhang-zhenyue-quanzhou.webp,430620,420.5,webp,1280,2276,yes,src/components/AestheticDialog.jsx:141
https://www.qiuxiaomiao.com/assets/inputs/training-arms-w480.webp,public/assets/inputs/training-arms-w480.webp,9444,9.2,webp,480,312,yes,generated responsive candidate for /assets/inputs/training-arms.webp
https://www.qiuxiaomiao.com/assets/inputs/training-arms-w960.webp,public/assets/inputs/training-arms-w960.webp,24140,23.6,webp,960,624,yes,generated responsive candidate for /assets/inputs/training-arms.webp
https://www.qiuxiaomiao.com/assets/inputs/training-arms.jpg,public/assets/inputs/training-arms.jpg,59072,57.7,jpeg,1476,960,yes,src/components/AestheticDialog.jsx:208 (JPG fallback)
https://www.qiuxiaomiao.com/assets/inputs/training-arms.webp,public/assets/inputs/training-arms.webp,55352,54.1,webp,1476,960,yes,src/components/AestheticDialog.jsx:208
https://www.qiuxiaomiao.com/assets/inputs/training-back-w480.webp,public/assets/inputs/training-back-w480.webp,27726,27.1,webp,480,854,yes,generated responsive candidate for /assets/inputs/training-back.webp
https://www.qiuxiaomiao.com/assets/inputs/training-back-w960.webp,public/assets/inputs/training-back-w960.webp,66748,65.2,webp,960,1708,yes,generated responsive candidate for /assets/inputs/training-back.webp
https://www.qiuxiaomiao.com/assets/inputs/training-back.jpg,public/assets/inputs/training-back.jpg,138766,135.5,jpeg,1278,2274,yes,src/components/AestheticDialog.jsx:204 (JPG fallback)
https://www.qiuxiaomiao.com/assets/inputs/training-back.webp,public/assets/inputs/training-back.webp,131022,128.0,webp,1278,2274,yes,src/components/AestheticDialog.jsx:204
https://www.qiuxiaomiao.com/assets/operations/campus-live-01-w1600.webp,public/assets/operations/campus-live-01-w1600.webp,35274,34.4,webp,1600,719,yes,generated responsive candidate for /assets/operations/campus-live-01.webp
https://www.qiuxiaomiao.com/assets/operations/campus-live-01-w480.webp,public/assets/operations/campus-live-01-w480.webp,5870,5.7,webp,480,216,yes,generated responsive candidate for /assets/operations/campus-live-01.webp
https://www.qiuxiaomiao.com/assets/operations/campus-live-01-w960.webp,public/assets/operations/campus-live-01-w960.webp,17442,17.0,webp,960,431,yes,generated responsive candidate for /assets/operations/campus-live-01.webp
https://www.qiuxiaomiao.com/assets/operations/campus-live-01.jpg,public/assets/operations/campus-live-01.jpg,68161,66.6,jpeg,1749,786,yes,fallback/original asset; not directly referenced
https://www.qiuxiaomiao.com/assets/operations/campus-live-01.webp,public/assets/operations/campus-live-01.webp,49562,48.4,webp,1749,786,yes,fallback/original asset; not directly referenced
https://www.qiuxiaomiao.com/assets/operations/campus-live-02-w1600.webp,public/assets/operations/campus-live-02-w1600.webp,28454,27.8,webp,1600,744,yes,generated responsive candidate for /assets/operations/campus-live-02.webp
https://www.qiuxiaomiao.com/assets/operations/campus-live-02-w480.webp,public/assets/operations/campus-live-02-w480.webp,5178,5.1,webp,480,223,yes,generated responsive candidate for /assets/operations/campus-live-02.webp
https://www.qiuxiaomiao.com/assets/operations/campus-live-02-w960.webp,public/assets/operations/campus-live-02-w960.webp,14836,14.5,webp,960,446,yes,generated responsive candidate for /assets/operations/campus-live-02.webp
https://www.qiuxiaomiao.com/assets/operations/campus-live-02.jpg,public/assets/operations/campus-live-02.jpg,51933,50.7,jpeg,1609,748,yes,fallback/original asset; not directly referenced
https://www.qiuxiaomiao.com/assets/operations/campus-live-02.webp,public/assets/operations/campus-live-02.webp,35126,34.3,webp,1609,748,yes,fallback/original asset; not directly referenced
https://www.qiuxiaomiao.com/assets/operations/campus-live-03-w1600.webp,public/assets/operations/campus-live-03-w1600.webp,39972,39.0,webp,1600,790,yes,generated responsive candidate for /assets/operations/campus-live-03.webp
